tweet_id,user_id,tweet_text,created_at,lang,reply_to_tweet_id
1467810369,1,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer. You shoulda got David Carr of Third Day to do it. ;D",2009-04-06 22:19:45,en,
1467810672,2,is upset that he can't update his Facebook by texting it... and might cry as a result School today also. Blah!,2009-04-06 22:19:49,en,
1467810917,3,@Kenichan I dived many times for the ball. Managed to save 50% The rest go out of bounds,2009-04-06 22:19:53,en,
1467811184,4,my whole body feels itchy and like its on fire,2009-04-06 22:19:57,en,
1467811193,5,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there.",2009-04-06 22:19:57,en,
1467811372,6,@Kwesidei not the whole crew,2009-04-06 22:20:00,en,
1467811592,7,Need a hug,2009-04-06 22:20:03,en,
1467811594,8,"@LOLTrish hey long time no see! Yes.. Rains a bit ,only a bit LOL , I'm fine thanks , how's you ?",2009-04-06 22:20:03,en,
1467811795,9,@Tatiana_K nope they didn't have it,2009-04-06 22:20:05,en,
1467812025,10,@twittera que me muera ?,2009-04-06 22:20:09,en,
1467812416,11,spring break in plain city... it's snowing,2009-04-06 22:20:16,en,
1467812579,12,I just re-pierced my ears,2009-04-06 22:20:17,en,
1467812723,13,@caregiving I couldn't bear to watch it. And I thought the UA loss was embarrassing . . . . .,2009-04-06 22:20:19,en,
1467812771,14,"@octolinz16 It it counts, idk why I did either. you never talk to me anymore",2009-04-06 22:20:19,en,
1467812784,15,"@smarrison i would've been the first, but i didn't have a gun. not really though, zac snyder's just a doucheclown.",2009-04-06 22:20:20,en,
1467812799,16,@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki how was the premiere?!,2009-04-06 22:20:20,en,
1467812964,17,Hollis' death scene will hurt me severely to watch on film wry is directors cut not out now?,2009-04-06 22:20:22,en,
1467813137,18,about to file taxes,2009-04-06 22:20:25,en,
1467813579,19,@LettyA ahh ive always wanted to see rent love the soundtrack!!,2009-04-06 22:20:31,en,
1467813782,20,@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks?,2009-04-06 22:20:34,en,
1467813985,21,@alydesigns i was out most of the day so didn't get much done,2009-04-06 22:20:37,en,
1467813992,22,"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh*",2009-04-06 22:20:38,en,
1467814119,23,@angry_barista I baked you a cake but I ated it,2009-04-06 22:20:40,en,
1467814180,24,this week is not going as i had hoped,2009-04-06 22:20:40,en,
1467814192,25,blagh class at 8 tomorrow,2009-04-06 22:20:41,en,
1467814438,26,I hate when I have to call and wake people up,2009-04-06 22:20:44,en,
1467814783,27,Just going to cry myself to sleep after watching Marley and Me.,2009-04-06 22:20:50,en,
1467814883,28,im sad now Miss.Lilly,2009-04-06 22:20:52,en,
1467815199,29,ooooh.... LOL that leslie.... and ok I won't do it again so leslie won't get mad again,2009-04-06 22:20:56,en,
1467815753,30,Meh... Almost Lover is the exception... this track gets me depressed every time.,2009-04-06 22:21:04,en,
1467815923,31,some1 hacked my account on aim now i have to make a new one,2009-04-06 22:21:07,en,
1467815924,32,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there I may b going to the one in Anaheim in May though,2009-04-06 22:21:07,en,
1467815988,33,thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon!,2009-04-06 22:21:09,en,
1467816149,34,@julieebaby awe i love you too!!!! 1 am here i miss you,2009-04-06 22:21:11,en,
1467816665,35,@HumpNinja I cry my asian eyes to sleep at night,2009-04-06 22:21:21,en,
1467816749,36,ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now,2009-04-06 22:21:20,en,
1467817225,37,@cocomix04 ill tell ya the story later not a good day and ill be workin for like three more hours...,2009-04-06 22:21:27,en,
